phase,title,body,state_specific,depends_on,helpful_links
Foundation & Planning,Business Name Brainstorm & Research,"Brainstorm names and research availability and trademark conflicts. Start at state level, then federal.",No,,
Foundation & Planning,Business Structure Decision,"LLC vs PLLC vs PC. Most go with PLLC / LLC, eventually to be taxed as S-Corp once income is over $100k or so.",Yes,,
Foundation & Planning,Register Legal Business Name,File Articles of Organization/Incorporation with State.,Yes,Business Structure Decision,
Foundation & Planning,"File Trade Names / DBA (""Doing Business As"" names) if necessary",Doing Business As for patient-facing brand name,Yes,Register Legal Business Name,
Foundation & Planning,Obtain EIN (Employer Identification Number),Employer Identification Number from IRS (don't buy from third party),No,Register Legal Business Name,"[{""label"":""Apply for an EIN online (IRS)"",""url"":""https://www.irs.gov/businesses/small-businesses-self-employed/get-an-employer-identification-number""}]"
Foundation & Planning,Membership Pricing Strategy / Break-Even Analysis,Decide membership pricing structure. Hint: keep it simple.,No,,"[{""label"":""DPC pricing & break-even calculator"",""url"":""https://dpcpricing.directcaretools.com/""}]"
Foundation & Planning,Location Selection Research,Mobile vs. Fixed location. Tip: Street visibility isn't that important,No,,"[{""label"":""How to choose a location"",""url"":""https://directcaretools.com/articles/location-selection/""}]"
Foundation & Planning,Join DPC Alliance,A group of like-minded physicians with some great membership benefits.,No,,"[{""label"":""DPC Alliance"",""url"":""https://dpcalliance.org/""}]"
Credentialing & Compliance,State Medical License Verification,Ensure your medical license is active and unrestricted in your practicing state,Yes,,
Credentialing & Compliance,DEA Registration,Self explanatory!,No,State Medical License Verification,
Credentialing & Compliance,NPI Number Application / Update,Make sure your NPI number information is updated and active,No,State Medical License Verification,
Credentialing & Compliance,State Prescriber ID,State-specific prescriber identifier (if applicable),Yes,State Medical License Verification,
Credentialing & Compliance,PDMP Registration,Prescription Drug Monitoring Program access,Yes,State Prescriber ID,
Credentialing & Compliance,Medicare Opt-Out Filing,"If you choose to opt-out of Medicare, this is essential.",No,,
Credentialing & Compliance,Telemedicine Licenses,"If you'd like to care for patients in other states, you likely need an active license from that state.",Yes,State Medical License Verification,
Credentialing & Compliance,Obtain Business License,City or county business operating license,Yes,Register Legal Business Name,
Credentialing & Compliance,State DPC Law Compliance,Review state-specific DPC regulations (don't just rely on AI summaries!),Yes,,
Financial Infrastructure,Banking Setup,Open business bank account,No,Obtain EIN (Employer Identification Number),
Financial Infrastructure,Business Credit Card,Separate business expenses build credit,No,Banking Setup,
Financial Infrastructure,Bookkeeping: In-house or hire?,"We recommend hiring this out asap, unless you're familiar with bookkeeping.",No,Banking Setup,
Financial Infrastructure,Payroll System Setup,Consider having bookkeeper do this. Not necessary if you're not hiring employees!,No,Banking Setup,
Financial Infrastructure,Accounting software,"If hiring bookkeeper, they'll have it. If not, use Xero or Quickbooks.",No,Bookkeeping: In-house or hire?,
Financial Infrastructure,Startup Funding Secured,"Highly recommend bootstrapping, but if securing funds, do not use credit card debt to fund",No,Membership Pricing Strategy / Break-Even Analysis,
Financial Infrastructure,Malpractice Insurance,Recommend going through DPC Alliance to find malpractice insurance,No,State Medical License Verification,"[{""label"":""DPC Alliance"",""url"":""https://dpcalliance.org/""}]"
Financial Infrastructure,General Liability Insurance,"General coverage (slip & fall, plus other general coverages)",No,Register Legal Business Name,
Financial Infrastructure,Cyber Liability Insurance,"Data breach coverage (ask what comes with malpractice, pair either w/ malpractice or general liability)",No,Register Legal Business Name,
Technology,Domain Name,"This is ""yourdomainname.com"" and will be used for email, website, etc. — expect a small yearly renewal.",No,,
Technology,EMR System Selection,"Major systems for DPC are Elation, Hint, AtlasMD, AkuteHealth, and others",No,,
Technology,Membership Billing Software,"For automated recurring billing, accepting payments in person, and more. Major systems are AtlasMD, Hint, Quickbooks, and others",No,,
Technology,Telehealth Platform,Will often pair with your EMR: check for HIPAA compliance if not,No,EMR System Selection,
Technology,Practice Email System,"Professional and scalable email system. Major players are Microsoft, Google, Zoho, and many others.",No,,
Technology,Phone System,Important to have a business line separate from cell phone. Many good options here.,No,,
Technology,Secure Messaging System,"Patient Communication: HIPAA compliant if possible, but have necessary forms for email / insecure messaging.",No,Practice Email System,
Technology,Electronic Fax Service,HIPAA-compliant faxing - often will come with EMR,No,EMR System Selection,
Technology,IT - hire or manage in-house?,"Decide if you are going to manage IT needs (computers, phone, storage, etc.) in-house or with a professional. Highly recommend eventually using a professional for security reasons.",No,,
Technology,Data Backup System,"If you store anything of importance on local computers, ensure you have automated backups.",No,IT - hire or manage in-house?,
Technology,IT Security Measures,"Understand how wifi, computer access, and much more is setup to ensure security.",No,IT - hire or manage in-house?,
Technology,Password Manager,"HIGHLY recommend using a password manager such as Dashlane, 1Password, or others.",No,IT Security Measures,
Brand & Marketing,Practice Website Development,Made mostly for potential members - should mostly act as a 'salesman' that informs people about membership.,No,,
Brand & Marketing,Website Maintenance,"If you hire to have your site built, then ask about maintenance plans. If building yourself, update monthly or quarterly at least. Hosting belongs here too: on its own it should cost very little, and it usually costs more only when it is bundled with a maintenance plan.",No,Practice Website Development,
Brand & Marketing,SEO Setup,Ensure your website includes all necessary SEO information for local search.,No,Practice Website Development,
Brand & Marketing,Google Business Profile,"Start & claim your Google Business Profile after you know your location, have email & phone setup.",No,Practice Website Development,
Brand & Marketing,Logo / Brand Development,"The cost for this is a huge range, especially with AI and other options on the internet. Logo, font, colors can always change. Invest only as much as you're comfortable - this is less important than most people think.",No,Register Legal Business Name,
Brand & Marketing,Marketing Materials Design,"Order of importance: business card, flyers, banners, signage",No,Logo / Brand Development,
Brand & Marketing,Social Media Presence,Only start and have profiles that you'll remain at least semi-active on.,No,Logo / Brand Development,
Brand & Marketing,Content Marketing Plan,"Write for clarity - not for being cute or ""unique."" It's better to make things crystal clear for your potential patients.",No,Practice Website Development,
Brand & Marketing,Community Outreach Plan,"Consider ribbon cutting, chamber of commerce events, and more",No,,
Brand & Marketing,Press Release Preparation,Prepare a piece for local media outlets - email out 2-6 weeks prior to opening,No,Logo / Brand Development,
Brand & Marketing,Email Marketing Setup,"Consider using a mass newsletter solution like Kit, MailChimp or similar rather than internal mailing",No,,
Brand & Marketing,Patient Education Materials,DPC model explanation wellness resources,No,,
Clinical Operations,List of Services,Create a list of services that you do and do not provide and whether they are included in membership or not (tip: include as much as possible in membership to keep things simple).,No,Membership Pricing Strategy / Break-Even Analysis,
Clinical Operations,Formulary Development,Preferred medication list,No,,
Clinical Operations,Medical Record Standards,Documentation requirements templates,No,EMR System Selection,
Clinical Operations,Prescription Policies,Refill protocols controlled substances,No,,
Clinical Operations,After-Hours Protocol,On-call coverage emergency response,No,Phone System,
Clinical Operations,Emergency Procedures,Code response emergency equipment,No,,
Clinical Operations,Specialist Network Development,Referral relationships for common needs,No,,
Clinical Operations,Pharmacy Relationships,Preferred pharmacy discount programs,No,,
Clinical Operations,Lab Services Provider,In-office vs reference lab,No,,
Clinical Operations,Imaging Center Network,X-ray MRI CT ultrasound contacts,No,,
Clinical Operations,DME Supplier Relationships,Durable medical equipment sources,No,,
Clinical Operations,Mental Health Contacts,Therapist psychiatrist network,No,,
Clinical Operations,Home Health Coordination,Post-hospital care coordination,No,,
Patient Experience,Patient Membership Agreement,Contract terms cancellation policy,No,State DPC Law Compliance,
Patient Experience,Member Handbook Creation,Services hours communication policies,No,Patient Membership Agreement,
Patient Experience,Patient Forms Development,Intake medical history consent forms,No,EMR System Selection,
Patient Experience,New Patient Onboarding Flow,Enrollment welcome process orientation,No,Patient Forms Development,
Patient Experience,Patient Communication Preferences,Text email portal visit preferences,No,EMR System Selection,
Patient Experience,Appointment Policies,Scheduling same-day urgent visit policies,No,EMR System Selection,
Patient Experience,Cancellation Policy,No-show late cancellation procedures,No,Appointment Policies,
Patient Experience,Patient Feedback System,Satisfaction surveys improvement process,No,,
Physical Setup,Office Location Lease,Negotiate lease terms buildout allowance,No,Location Selection Research,
Physical Setup,Office Design & Layout,Exam rooms waiting area workflow,No,Office Location Lease,
Physical Setup,Office Buildout,Construction improvements finishes,No,Office Design & Layout,
Physical Setup,Medical Equipment Purchase,Exam tables BP cuffs EKG etc,No,Office Buildout,
Physical Setup,Office Furniture,Desks chairs waiting room,No,Office Buildout,
Physical Setup,Office Supplies,"The basics: pens, paper clips, printers, etc.",No,Office Buildout,
Physical Setup,Medical Supplies & Inventory,Clinical supplies office supplies,No,Medical Equipment Purchase,
