task_id,depends_on,task_name,parent_task,phase,priority,tags,notes,helpful_links,state_specific,cost_estimate,recurring
1,NULL,Business Name Brainstorm & Research,NULL,Phase 1: Foundation & Planning,Critical,"[""legal"", ""research"", ""decisions""]","Brainstorm names and research availability and trademark conflicts. Start at state level, then federal.",,No,$0 ,No
2,NULL,Business Structure Decision,NULL,Phase 1: Foundation & Planning,Critical,"[""legal"", ""decisions""]","LLC vs PLLC vs PC. Most go with PLLC / LLC, eventually to be taxed as S-Corp once income is over $100k or so.",,Yes,$0 ,No
3,2,Register Legal Business Name,Business Structure Decision,Phase 1: Foundation & Planning,Critical,"[""legal""]",File Articles of Organization/Incorporation with State. ,,Yes,$200-500,No
4,3,"File Trade Name(s) / DBA (""Doing Business As"" names) if necessary",Register Legal Business Name,Phase 1: Foundation & Planning,Important,"[""legal""]",Doing Business As for patient-facing brand name,,Yes,$50-150,No
5,3,Obtain EIN (Employer Identification Number),Register Legal Business Name,Phase 1: Foundation & Planning,Critical,"[""legal"", ""tax""]",Employer Identification Number from IRS (don't buy from third party),"[""https://www.irs.gov/businesses/small-businesses-self-employed/get-an-employer-identification-number""]",No,$0 ,No
6,NULL,Membership Pricing Strategy / Break-Even Analysis,NULL,Phase 1: Foundation & Planning,Critical,"[""financial"", ""decisions"", ""research""]",Decide membership pricing structure. Hint: keep it simple.,"[""https://dpcpricing.directcaretools.com/""]",No,$0 ,No
7,NULL,Location Selection Research,NULL,Phase 1: Foundation & Planning,Critical,"[""operations"", ""research"", ""decisions""]",Mobile vs. Fixed location. Tip: Street visibility isn't that important,"[""https://directcaretools.com/articles/location-selection/""]",No,$0 ,No
8,NULL,Join DPC Alliance,NULL,Phase 1: Foundation & Planning,Nice to Have,"[""planning"", ""networking""]",A group of like-minded physicians with some great membership benefits.,"[""https://dpcalliance.org/""]",,,
,,,,,,,,,,,
9,NULL,State Medical License Verification,NULL,Phase 2: Credentialing & Compliance,Critical,"[""credentialing"", ""legal""]",Ensure your medical license is active and unrestricted in your practicing state,,Yes,$0 ,No
